"","R-18_Baseline","R-5_Baseline","R-12_Baseline","R-20_Baseline","R-2_Baseline","R-14_Baseline","R-6_Baseline","R-8_Baseline","R-17_Baseline","R-24_Baseline","R-9_Baseline","R-15_Baseline","R-10_Baseline","R-4_Baseline"
"ZNF585A",0.274218706209561,0.0587450001118247,0.0389210384475754,-0.0570115272877354,2.54943398525165,0.691489835996137,-2.30175536780919,-0.453990621396301,0.0639883002654543,-0.0426484730697081,0.00231376287737508,-0.31042716067766,-0.57335644741014,0.0600789684911566
"TNFRSF8",-0.462089485835549,-0.330200813837985,-0.723738517217888,-0.115640758870671,1.40504939138527,1.42404362643391,-0.917908730423182,0.187838823171339,-1.07398711091974,0.073290361509187,2.23023327063354,-0.89612379246277,-0.355912853480361,-0.444853410085096
"BAIAP2L2",1.04191401304912,2.69005539574452,0.0878943752388463,-0.788630480992743,1.0815729859225,0.157179573436534,-0.386439369931102,-0.902834335755808,-0.379449876923023,-0.604750515758913,-0.524811250862597,-0.000210159696775095,-0.839737279963651,-0.631753073506909
"CCDC149",-0.248421986666923,-0.0820732674584771,-0.496164111456221,-0.307978236255632,-0.577421906978839,-1.1014739307873,1.8242516263762,-0.216034876171571,-0.462571271635255,-0.429671330756986,0.00104022889337244,2.66593546969169,-0.258488303828088,-0.310928102965987
"YIF1B",0.1492480284904,-0.0222812525326779,-0.19827859143697,-0.0954187133637059,1.33582427378744,2.78073735721974,-0.79735850774705,-0.621287131716942,-0.304338051493038,0.452294369015309,-1.01383699273432,-0.809874907051201,-0.574802689529547,-0.280627190907424
"ARHGEF40",-0.730856649215032,-0.554741182685625,0.358240467677662,0.203292937864123,-1.42757526284893,-1.87087263056147,2.26604389292664,-0.134981287685832,0.74194819092528,0.490548670696529,-0.127941502903205,0.419103871775857,-0.167074132552036,0.534864616586024
"BZRAP1-AS1",-0.127632952019661,0.256697485485282,-0.105021589789841,-0.339714803359749,0.915246232505116,2.88747140294956,-1.46448677185252,-0.189821086589648,-0.56919513368589,0.058116493039111,0.0320676135243012,-0.946524929648324,-0.456835170457025,0.0496332098992713
"CSPG4",0.466960693112171,0.240275025877368,-0.259260477876741,-0.348103080922448,-1.04842668428332,-2.12063673574224,1.6862665581269,0.275805819622617,0.410887304682283,-0.84182297359862,-0.631784369366539,1.1865221094338,-0.161037911087072,1.14435472202185
"IL7",-0.731752519340029,-0.71967417091702,-0.0863761480651151,-0.82404866081701,1.44711388800113,1.75018526199412,-1.19656936612828,-0.0462864254678,1.02298186397452,0.43253743555088,0.655763765755149,-1.53515307854088,-0.647542695456881,0.47882084945723
"NR6A1",1.42909382139604,0.714840907008093,0.454859297168013,0.800409132711999,0.455660661280995,0.252590999321972,0.440165446645156,0.774471608146887,-0.549975126131365,-0.503046373194089,-0.511120460972383,-1.99092941345669,-1.93050780307015,0.163487303145509
"PHLDA2",-0.0830472082126826,-1.97407087417249,0.376606152371501,-0.160201305693275,-0.409212158293146,-1.32964662762311,1.58612107530716,0.708745287360636,-0.538327333500583,0.416029704716225,-0.913305480457082,1.18904769418004,1.1243889097454,0.00687216427138945
"FAM86JP",-0.53228564470277,-0.244043631327329,0.52202972247712,-0.688096305450085,-1.0833762915278,-0.929900448081904,0.758911475621057,-0.223584170540619,-0.494225480516654,0.317976582727688,-1.12211318284979,0.150728125058028,2.57591914906633,0.992060100046726
"PLEKHG6",-1.70571319590856,0.364705525622416,-0.234535356395522,1.11397998538002,-1.19864499100303,-1.13762983921291,1.74917470469776,1.25685088880593,-0.142555739486402,-0.645469575534308,-0.439204629394382,0.253049280590619,0.772916983154125,-0.00692404131574474
"LOC101929513",-0.378455983275787,-0.491059774451421,-0.279428353058089,1.31806558337741,-1.16503226419882,-0.87164754373804,-0.0296090116902546,-0.30540684739923,-0.93093675044643,-0.101501969884487,-0.532149580436931,1.42998394986816,2.32029446378029,0.0168840815536336
